STATUS | VIDEO_ID | TITLE | ARTISTS | ALBUM | DURATION
PENDING | q5F1uni_GcI | Geçti Dost Kervanı | Barış Manço | Estağfurullah Ne Haddimize! | 4:18
PENDING | 1lOM6m2jRA0 | Demedim mi | Sabahat Akkiraz | İnsana Muhabbet Duyalı | 4:07
PENDING | CjIYachov_4 | Yağmur, Teşekkürler | mor ve ötesi | Güneşi Beklerken | 4:37
PENDING | ZggIJvj-R38 | Sana Değmez | mor ve ötesi | Güneşi Beklerken | 4:22
PENDING | Mq0x21H6KpI | Oyunbozan | mor ve ötesi | Güneşi Beklerken | 4:38
PENDING | aCVjVbt6uwM | Ah Bir Joker | Mirkelam | Mirkelam Joker | 4:04
PENDING | V3TMgiGzfm0 | Her gece | Mirkelam | Mirkelam | 3:55
PENDING | NFrsuQzUDd0 | Sevdim Sevilmedim | Candan Erçetin | Hazırım | 4:35
PENDING | YVFwnnS-0FA | Sensiz İstanbul'a Düşmanım (feat. Emre Aydin) | Gripin | Gripin | 4:43
PENDING | eDImvdyxdz8 | Böyle Kahpedir Dünya | Gripin | Gripin | 4:23
PENDING | CiN0IuMXHNM | Güzel Bir Gün | Teoman | Kurtuluş Son Durak (Original Motion Picture Soundtrack) | 5:03
PENDING | FyqbrAGja6Q | Swan Lake - Scene | Tchaikovsky | Meditation - Classical Relaxation Vol. 6 | 2:51
PENDING | XkN8xeCXKjA | Gözüm Senden Başka | Ezginin Günlüğü | Eski Arkadaş | 3:40
PENDING | 1svA65PmRKw | Fesuphanallah | Erkin Koray | Best of... The Best, Vol. 1 | 3:37
PENDING | PE60xNakQuk | Paşa'nın Türküsü | Nurettin Rençber | Eşkiya Türküleri | 4:34
PENDING | gICd6pZKVTc | Sarı Çizmeli Mehmet Ağa | Kurban | Sert | 4:37
PENDING | KSax7i-8ZaI | Dadaloğlu | Cem Karaca | Cemaz-Ûl-Evvel (Güldeste) | 3:58
PENDING | fCQLIj17pik | O Leyli | Cem Karaca | Cem Karaca - Özel Koleksiyon | 2:37
PENDING | mYNcHkrQPUE | Evidence | Katatonia | Viva Emptiness | 4:37
PENDING | dW7sxXsraIs | Red Line | Aytekin Ataş | Suskunlar (Orijinal Dizi Müzikleri) | 2:21
PENDING | Ws0sCcEf-XQ | Halo | Beyoncé | I AM...SASHA FIERCE | 4:22
PENDING | LTem11kie-k | Animals | Maroon 5 | V | 3:52
PENDING | Szb0A-NryXs | Metal in Inappropriate Places (feat. Fluff) | Rob Scallon | Metal in Inappropriate Places (ft. Fluff) | 1:31
PENDING | TrpkjAnmH1Q | Anne | John Frusciante | Curtains | 3:36
PENDING | xDkBcvPkZVI | Going Inside | John Frusciante | To Record Only Water For Ten Days (U.S. Version) | 3:36
PENDING | m781m5-HIO4 | Let's Go (feat. Lil' Jon, Twista & Big D) | Trick Daddy | Let's Go | 3:46
PENDING | fuDAAV4eCiQ | Hata Benim | Neşet Ertaş | Hata Benim | 7:06
PENDING | YI8jd75oSYs | Ben Gidersem Sazım Sen Kal | Aşık Veysel | Aşık Veysel Arşiv 1 | 3:13
PENDING | 8C3CvGA_tpc | Sinanoğlu | Nurettin Rençber | Eşkiya Türküleri | 5:44
PENDING | X791IzOwt3Q | Stairway to Heaven (Remaster) | Led Zeppelin | Mothership | 8:06
PENDING | Cj0L-Pg8-e8 | Double Nature | Mustasch | Latest Version of the Truth | 4:45
PENDING | K12iOsQ4NZ4 | Thank You for the Demon | Mustasch | Thank You for the Demon | 3:42
PENDING | ORnvO1VyYMk | Man On The Silver Mountain | Rainbow | Ritchie Blackmore's Rainbow | 4:38
PENDING | sK9_kkc6dyo | Ronnie Rising Medley (Includes A Light In The Black, Tarot Woman, Stargazer & Kill The King) | Metallica | Ronnie James Dio - This Is Your Life | 9:05
PENDING | z1qgdfp0ZEI | Lions In A Cage | Pentagram | Unspoken | 6:16
PENDING | QBhVionXlBM | In Esir Like An Eagle | Pentagram | Unspoken | 5:49
PENDING | OksM5GCB5TA | Mezarkabul | Pentagram | Unspoken | 7:53
PENDING | _ZWDLV0OUEI | Walk | Kwabs | Love + War | 3:35
PENDING | mQKF-OghDyo | Through Oblivion | In Flames | Siren Charms | 3:38
PENDING | OjvZvRVk8Z0 | The Last In Line | Dio | The Last In Line | 5:41
PENDING | b5KraEeQhoo | Chandelier | Sia | 1000 Forms Of Fear | 3:37
PENDING | E3ZZlOtYNlw | Gözyaşlarımızı Bitti Mi Sandın | MFÖ | Vak The Rock | 3:43
PENDING | kv43HUU8LTc | Samsara | Tungevaag & Raaban | Samsara | 3:32
PENDING | kBVIDGxSKX8 | Iron Man (2009 Remaster) | Black Sabbath | We Sold Our Soul for Rock 'N' Roll | 5:57
PENDING | 2LNT8zZqAGs | For Those Who Died Alone | Pentagram | Unspoken | 8:16
PENDING | uWzkf4mqXZI | Under A Serpent Sun | At The Gates | Slaughter Of The Soul | 4:00
PENDING | guuOQZdZeHM | Riverside | Agnes Obel | Philharmonics | 3:49
PENDING | NPfXwxjg3x4 | ALL AROUND THE WORLD (feat. Kevin JZ Prodigy) | Bang Garcon | WELCOME TO BALLROOM | 4:21
PENDING | An_h_uLHMNo | To Bid You Farewell | Opeth | Morningrise | 10:55
PENDING | Xae2J9imz7g | Time Is My Everything | Ian Brown | Solarized | 3:53
PENDING | CB6qhMsMsCE | Bible Black | Heaven & Hell | The Devil You Know | 6:28
PENDING | OBabG0T2fwQ | Fire Coming out of the Monkey's Head | Gorillaz | Demon Days | 3:19
PENDING | FPrHuDvXEBw | Boulevard of Broken Dreams | Green Day | Boulevard of Broken Dreams | 4:22
PENDING | 3gvI3b9-wPY | The Past Recedes | John Frusciante | Curtains | 3:54
PENDING | MTOwcqywZNE | Lever Pulled | John Frusciante | Curtains | 2:23
PENDING | NN77v-dRMGY | The Real | John Frusciante | Curtains | 3:07
PENDING | NN77v-dRMGY | The Real | John Frusciante | Curtains | 3:07
PENDING | xxzj9ScV3ao | Control | John Frusciante | Curtains | 4:32
PENDING | zse1rKHnxOg | Your Warning | John Frusciante | Curtains | 3:34
PENDING | m48gkFpBBTY | Hope | John Frusciante | Curtains | 1:57
PENDING | eRpA2X_Yneo | Ascension | John Frusciante | Curtains | 2:53
PENDING | ZUXQiT04HF8 | Time Tonight | John Frusciante | Curtains | 3:13
PENDING | PsX_HuUXEi0 | Leap Your Bar | John Frusciante | Curtains | 2:36
PENDING | BJCyYdzzqlQ | Halleluja, Shrek (Shrek) | Elena Ravelli | Christmas Songs and Soundtracks Disney | 4:41
PENDING | MMZdELUEhbg | Yara's Song | Mustasch | Testosterone | 3:44
PENDING | QqoEU64m4NY | O Ha! | Dejavu | Kendin Coş | 3:52
PENDING | spN0lvAsoY8 | Aşkın Gözü | Malt | Kendi Adını Taşıyan İlk Albüm | 3:58
PENDING | 50x8eT_skV0 | Deprem | Malt | Kendi Adını Taşıyan İlk Albüm | 3:33
PENDING | mqfrKi30q4k | My Favourite Game | The Cardigans | Best Of | 3:41
PENDING | 7jaO2usW0Bk | Because I Got High | Afroman | No Seeds, No Stems, Just Hits | 3:20
PENDING | OIh2WH12GlU | Kendin Coş | Dejavu | Kendin Coş | 3:56
PENDING | hqaeeQkE2dE | End Of The Road | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 3:20
PENDING | K6g4841NZ6I | Guaranteed | Eddie Vedder | Into The Wild (Music For The Motion Picture) | 2:45
PENDING | I3UOkxdsh-8 | Better by You, Better Than Me | Judas Priest | Stained Class | 3:23
PENDING | ulRXvH8VOl8 | Wake Me up When September Ends | Green Day | American Idiot | 4:46
PENDING | gZPIHlCu2p4 | Before The Beginning | John Frusciante | The Empyrean | 9:09
PENDING | cw2cyJvfuwc | Song To The Siren | John Frusciante | The Empyrean | 3:35
PENDING | 8-DVFjQYAn8 | Unreachable | John Frusciante | The Empyrean | 6:12
PENDING | g05l7kHBIj8 | God | John Frusciante | The Empyrean | 3:25
PENDING | svf7JfvRR_c | Dark/Light | John Frusciante | The Empyrean | 8:32
PENDING | SqCvOaW7cCw | Heaven | John Frusciante | The Empyrean | 4:05
PENDING | qFv3C00VOUQ | Enough Of Me | John Frusciante | The Empyrean | 4:16
PENDING | SvKbKTwb7xw | Central | John Frusciante | The Empyrean | 7:18
PENDING | bDsq662s5A8 | One More Of Me | John Frusciante | The Empyrean | 4:08
PENDING | RXYiS4sx70o | After The Ending | John Frusciante | The Empyrean | 3:39
PENDING | DtacDHriV0o | Beggin | Madcon | Beggin | 3:39
PENDING | 0oJFV3lc2TQ | Blinded By Fear | At The Gates | Slaughter Of The Soul | 3:12
PENDING | kySYrY6YOps | Cold | At The Gates | Slaughter Of The Soul | 3:28
PENDING | jLkZ93bL4t4 | Into The Dead Sky | At The Gates | Slaughter Of The Soul | 2:13
PENDING | H1rLwjJq1ME | Suicide Nation | At The Gates | Slaughter Of The Soul | 3:37
PENDING | CQB0XjJXCqk | World Of Lies | At The Gates | Slaughter Of The Soul | 3:36
PENDING | AVGChniGnS4 | Unto Others | At The Gates | Slaughter Of The Soul | 3:12
PENDING | ePNc_CIiibo | Nausea | At The Gates | Slaughter Of The Soul | 2:24
PENDING | XpkQbsqRphY | Need | At The Gates | Slaughter Of The Soul | 2:37
PENDING | zkZ1OS6ivmw | The Flames Of The End | At The Gates | Slaughter Of The Soul | 2:57
